"rule_id","var_a","ref","standard"
"CG0009","EPOCH","TA.EPOCH","SDTM-IG"
"CG0029","USUBJID","DM.USUBJID","SDTM-IG"
"CG0031","VISIT","TV.VISIT","SDTM-IG"
"CG0033","VISITNUM","TV.VISITNUM","SDTM-IG"
"CG0034","VISITNUM","SV.VISITNUM","SDTM-IG"
"CG0118","ACTARM","TA.ARM","SDTM-IG"
"CG0121","ARM","TA.ARM","SDTM-IG"
"CG0125","ACTARMCD","TA.ARMCD","SDTM-IG"
"CG0126","ARMCD","TA.ARMCD","SDTM-IG"
"CG0156","APID","POOLDEF.POOLID","SDTM-IG"
"CG0157","RSUBJID","DM.USUBJID","SDTM-IG"
"CG0158","RSUBJID","POOLDEF.POOLID","SDTM-IG"
"CG0178","IETEST","TI.IETEST","SDTM-IG"
"CG0179","IETESTCD","TI.IETESTCD","SDTM-IG"
"CG0213","VISITNUM","TV.VISITNUM","SDTM-IG"
"CG0215","VISIT","TV.VISIT","SDTM-IG"
"CG0293","ARMCD","TA.ARMCD","SDTM-IG"
"CG0294","ARM","TA.ARM","SDTM-IG"
"CG0512","ACTARMCD","TA.ARMCD","SDTM-IG"
"CG0514","ACTARM","TA.ARM","SDTM-IG"
"CG0516","ARMCD","TA.ARMCD","SDTM-IG"
"CG0518","ARM","TA.ARM","SDTM-IG"
"CG0655","VISITNUM","TV.VISITNUM","SDTM-IG"
"CG0657","VISIT","TV.VISIT","SDTM-IG"
