"rule_id","var_a","standard"
"194","PARAM","ADaM-IG"
"195","PARAMCD","ADaM-IG"
"261","AEDECOD","ADaM-IG"
"262","AEBODSYS","ADaM-IG"
"278","AESER","ADaM-IG"
"373","CNSR","ADaM-IG"
"374","AVAL","ADaM-IG"
"620","AETERM","ADaM-IG"
"621","TRTEMFL","ADaM-IG"
"623","AESEQ","ADaM-IG"
"624","AELLT","ADaM-IG"
"625","AEBDSYCD","ADaM-IG"
"626","AELLTCD","ADaM-IG"
"627","AEHLT","ADaM-IG"
"628","AEHLTCD","ADaM-IG"
"629","AEHLGT","ADaM-IG"
"630","AEHLGTCD","ADaM-IG"
"631","AEPTCD","ADaM-IG"
"632","AESOC","ADaM-IG"
"633","AESOCCD","ADaM-IG"
"634","AESTDTC","ADaM-IG"
"635","ASTDT","ADaM-IG"
"636","AEENDTC","ADaM-IG"
"637","AENDT","ADaM-IG"
"638","ASTDY","ADaM-IG"
"639","AENDY","ADaM-IG"
"655","DOSEA","ADaM-IG"
"656","DOSEU","ADaM-IG"
"657","AVISIT","ADaM-IG"
"671","AVALU","ADaM-IG"
"88","STUDYID","ADaM-IG"
"885","USUBJIDN","ADaM-IG"
"886","AFRLT","ADaM-IG"
"887","EVID","ADaM-IG"
"888","DV","ADaM-IG"
"889","MDV","ADaM-IG"
"89","USUBJID","ADaM-IG"
"890","AMT","ADaM-IG"
"90","TRTP","ADaM-IG"
