"rule_id","var_a","var_b","standard"
"105","APERIODC","APERIOD","ADaM-IG"
"106","APERIOD","APERIODC","ADaM-IG"
"123","PARAMTYP","PARAMCD","ADaM-IG"
"141","PARAM","PARAMCD","ADaM-IG"
"142","PARAMCD","PARAM","ADaM-IG"
"227","TRTSEQP","TRTSEQPN","ADaM-IG"
"228","TRTSEQPN","TRTSEQP","ADaM-IG"
"229","TRTSEQA","TRTSEQAN","ADaM-IG"
"230","TRTSEQAN","TRTSEQA","ADaM-IG"
"280","AESEV","AESEVN","ADaM-IG"
"281","AESEVN","AESEV","ADaM-IG"
"283","ASEV","ASEVN","ADaM-IG"
"284","ASEVN","ASEV","ADaM-IG"
"287","AEREL","AERELN","ADaM-IG"
"288","AERELN","AEREL","ADaM-IG"
"289","AREL","ARELN","ADaM-IG"
"290","ARELN","AREL","ADaM-IG"
"293","AETOXGR","AETOXGRN","ADaM-IG"
"294","AETOXGRN","AETOXGR","ADaM-IG"
"295","ATOXGR","ATOXGRN","ADaM-IG"
"296","ATOXGRN","ATOXGR","ADaM-IG"
"359","DTHCAUS","DTHCAUSN","ADaM-IG"
"360","DTHCAUSN","DTHCAUS","ADaM-IG"
"409","ABLFN","ABLFL","ADaM-IG"
"410","ABLFL","ABLFN","ADaM-IG"
"468","STRATAR","STRATARN","ADaM-IG"
"469","STRATARN","STRATAR","ADaM-IG"
"476","STRATAV","STRATAVN","ADaM-IG"
"477","STRATAVN","STRATAV","ADaM-IG"
"721","TRTPN","TRTP","ADaM-IG"
"722","TRTP","TRTPN","ADaM-IG"
"723","TRTAN","TRTA","ADaM-IG"
"724","TRTA","TRTAN","ADaM-IG"
"725","APERIODC","APERIOD","ADaM-IG"
"726","APERIOD","APERIODC","ADaM-IG"
"738","PARAM","PARAMCD","ADaM-IG"
"739","PARAMCD","PARAM","ADaM-IG"
"752","TRTSEQP","TRTSEQPN","ADaM-IG"
"753","TRTSEQPN","TRTSEQP","ADaM-IG"
"754","TRTSEQA","TRTSEQAN","ADaM-IG"
"755","TRTSEQAN","TRTSEQA","ADaM-IG"
"769","AESEV","AESEVN","ADaM-IG"
"770","AESEVN","AESEV","ADaM-IG"
"771","ASEV","ASEVN","ADaM-IG"
"772","ASEVN","ASEV","ADaM-IG"
"775","AEREL","AERELN","ADaM-IG"
"776","AERELN","AEREL","ADaM-IG"
"777","AREL","ARELN","ADaM-IG"
"778","ARELN","AREL","ADaM-IG"
"781","AETOXGR","AETOXGRN","ADaM-IG"
"782","AETOXGRN","AETOXGR","ADaM-IG"
"783","ATOXGR","ATOXGRN","ADaM-IG"
"784","ATOXGRN","ATOXGR","ADaM-IG"
"92","TRTPN","TRTP","ADaM-IG"
"93","TRTP","TRTPN","ADaM-IG"
"95","TRTAN","TRTA","ADaM-IG"
"96","TRTA","TRTAN","ADaM-IG"
