"rule_id","var_a","var_b","expand","standard"
"112","ARELTM","ARELTMU","","ADaM-IG"
"159","AWTDIFF","AWTARGET","","ADaM-IG"
"268","ADURN","ADURU","","ADaM-IG"
"379","BTOXGRN","BTOXGR","","ADaM-IG"
"380","BTOXGR","BTOXGRN","","ADaM-IG"
"385","BTOXGRL","BTOXGRLN","","ADaM-IG"
"386","BTOXGRLN","BTOXGRL","","ADaM-IG"
"389","BTOXGRH","BTOXGRHN","","ADaM-IG"
"390","BTOXGRHN","BTOXGRH","","ADaM-IG"
"391","ATOXGR","ATOXGRN","","ADaM-IG"
"392","ATOXGRN","ATOXGR","","ADaM-IG"
"393","ATOXGRL","ATOXGRLN","","ADaM-IG"
"394","ATOXGRLN","ATOXGRL","","ADaM-IG"
"397","ATOXGRH","ATOXGRHN","","ADaM-IG"
"398","ATOXGRHN","ATOXGRH","","ADaM-IG"
"407","ABLFN","ABLFL","","ADaM-IG"
"408","ABLFL","ABLFN","","ADaM-IG"
"415","TRTSEQPN","TRTSEQP","","ADaM-IG"
"416","TRTSEQP","TRTSEQPN","","ADaM-IG"
"417","TRTSEQAN","TRTSEQA","","ADaM-IG"
"418","TRTSEQA","TRTSEQAN","","ADaM-IG"
"429","APERIOD","APERIODC","","ADaM-IG"
"430","APERIODC","APERIOD","","ADaM-IG"
"431","APHASE","APHASEN","","ADaM-IG"
"432","APHASEN","APHASE","","ADaM-IG"
"433","ASPER","ASPERC","","ADaM-IG"
"434","ASPERC","ASPER","","ADaM-IG"
"435","ATPT","ATPTN","","ADaM-IG"
"436","ATPTN","ATPT","","ADaM-IG"
"447","AVISITN","AVISIT","","ADaM-IG"
"448","DTHCAUS","DTHCAUSN","","ADaM-IG"
"449","DTHCAUSN","DTHCAUS","","ADaM-IG"
"456","TRTA","TRTAN","","ADaM-IG"
"457","TRTAN","TRTA","","ADaM-IG"
"458","TRTP","TRTPN","","ADaM-IG"
"459","TRTPN","TRTP","","ADaM-IG"
"466","STRATAR","STRATARN","","ADaM-IG"
"467","STRATARN","STRATAR","","ADaM-IG"
"474","STRATAV","STRATAVN","","ADaM-IG"
"475","STRATAVN","STRATAV","","ADaM-IG"
"488","ONTRTFL","ONTRTFN","","ADaM-IG"
"489","ONTRTFN","ONTRTFL","","ADaM-IG"
"490","LVOTFL","LVOTFN","","ADaM-IG"
"491","LVOTFN","LVOTFL","","ADaM-IG"
"501","ASPER","APERIOD","","ADaM-IG"
"663","COHORTN","COHORT","","ADaM-IG"
"667","DOSPCTDF","TRTA","","ADaM-IG"
"668","ACYCLE","ACYCLEC","","ADaM-IG"
"795","PROJID","PROJIDN","","ADaM-IG"
"796","PROJIDN","PROJID","","ADaM-IG"
"800","STUDYID","STUDYIDN","","ADaM-IG"
"801","STUDYIDN","STUDYID","","ADaM-IG"
"805","SUBJTYP","SUBJTYPC","","ADaM-IG"
"806","SUBJTYPC","SUBJTYP","","ADaM-IG"
"810","USUBJID","USUBJIDN","","ADaM-IG"
"811","USUBJIDN","USUBJID","","ADaM-IG"
"815","SUBJID","SUBJIDN","","ADaM-IG"
"816","SUBJIDN","SUBJID","","ADaM-IG"
"820","SITEID","SITEIDN","","ADaM-IG"
"821","SITEIDN","SITEID","","ADaM-IG"
"825","FLGREAS","FLGREASC","","ADaM-IG"
"826","FLGREASC","FLGREAS","","ADaM-IG"
"830","DVID","DVIDN","","ADaM-IG"
"831","DVIDN","DVID","","ADaM-IG"
"835","BLQFL","BLQFN","","ADaM-IG"
"836","BLQFN","BLQFL","","ADaM-IG"
"840","ALQFL","ALQFN","","ADaM-IG"
"841","ALQFN","ALQFL","","ADaM-IG"
"845","FORM","FORMN","","ADaM-IG"
"846","FORMN","FORM","","ADaM-IG"
"850","ROUTE","ROUTEN","","ADaM-IG"
"851","ROUTEN","ROUTE","","ADaM-IG"
"855","ACYCLE","ACYCLEC","","ADaM-IG"
"856","ACYCLEC","ACYCLE","","ADaM-IG"
"860","COHORT","COHORTC","","ADaM-IG"
"861","COHORTC","COHORT","","ADaM-IG"
"865","RACE","RACEN","","ADaM-IG"
"866","RACEN","RACE","","ADaM-IG"
"870","SEX","SEXN","","ADaM-IG"
"871","SEXN","SEX","","ADaM-IG"
"875","COUNTRY","COUNTRYN","","ADaM-IG"
"876","COUNTRYN","COUNTRY","","ADaM-IG"
"880","COUNTRY","COUNTRYL","","ADaM-IG"
"881","COUNTRYL","COUNTRY","","ADaM-IG"
