"pattern","rule_id","pos_fired","neg_fired","fixture","status"
"presence-required","194",1,0,"synth","pass"
"presence-required","195",1,0,"synth","pass"
"presence-required","261",1,0,"synth","pass"
"presence-required","262",1,0,"synth","pass"
"presence-required","278",1,0,"synth","pass"
"presence-required","373",1,0,"synth","pass"
"presence-required","374",1,0,"synth","pass"
"presence-required","620",1,0,"synth","pass"
"presence-required","621",1,0,"synth","pass"
"presence-required","623",1,0,"synth","pass"
"presence-required","624",1,0,"synth","pass"
"presence-required","625",1,0,"synth","pass"
"presence-required","626",1,0,"synth","pass"
"presence-required","627",1,0,"synth","pass"
"presence-required","628",1,0,"synth","pass"
"presence-required","629",1,0,"synth","pass"
"presence-required","630",1,0,"synth","pass"
"presence-required","631",1,0,"synth","pass"
"presence-required","632",1,0,"synth","pass"
"presence-required","633",1,0,"synth","pass"
"presence-required","634",1,0,"synth","pass"
"presence-required","635",1,0,"synth","pass"
"presence-required","636",1,0,"synth","pass"
"presence-required","637",1,0,"synth","pass"
"presence-required","638",1,0,"synth","pass"
"presence-required","639",1,0,"synth","pass"
"presence-required","655",1,0,"synth","pass"
"presence-required","656",1,0,"synth","pass"
"presence-required","657",1,0,"synth","pass"
"presence-required","671",1,0,"synth","pass"
"presence-required","88",1,0,"synth","pass"
"presence-required","885",1,0,"synth","pass"
"presence-required","886",1,0,"synth","pass"
"presence-required","887",1,0,"synth","pass"
"presence-required","888",1,0,"synth","pass"
"presence-required","889",1,0,"synth","pass"
"presence-required","89",1,0,"synth","pass"
"presence-required","890",1,0,"synth","pass"
"presence-required","90",1,0,"synth","pass"
